,--disable-scripts,--disable-decoders,--enable-small,--disable-threads,--disable-doc,--enable-debug
1,0,1,0,0,1,0
2,0,1,1,1,0,0
3,1,0,0,0,0,0
4,1,0,0,1,1,0
5,1,0,1,0,0,0
6,0,1,0,0,1,1
7,0,1,0,1,0,1
8,1,0,1,0,1,0
9,1,1,1,1,1,1
10,0,1,1,0,0,1
11,0,0,1,1,1,0
12,1,1,1,1,0,0
13,0,0,1,0,0,1
14,0,1,1,0,1,0
15,0,0,1,0,1,0
16,0,0,1,0,1,1
17,1,1,0,0,0,1
18,1,0,1,1,0,0
19,1,1,0,0,1,0
20,0,1,1,0,0,0
21,0,0,0,0,1,0
22,0,1,0,1,0,0
23,1,1,1,1,0,1
24,0,1,1,1,1,1
25,1,1,1,0,1,0
26,0,0,0,1,1,1
27,0,0,1,1,0,1
28,1,1,1,0,0,1
29,1,1,1,1,1,0
30,1,1,0,1,1,1
